prompt_tokens,completion_tokens,total_tokens
719,425,1144
698,324,1022
1060,133,1193
303,125,428
453,594,1047
841,1187,2028
1070,166,1236
346,147,493
485,710,1195
966,1126,2092
1045,197,1242
352,166,518
479,792,1271
1024,744,1768
1080,220,1300
410,206,616
554,1103,1657
1369,1124,2493
1080,142,1222
332,133,465
481,586,1067
853,866,1719
1052,147,1199
309,192,501
512,626,1138
864,959,1823
1075,142,1217
327,155,482
498,656,1154
917,664,1581
1048,209,1257
367,238,605
554,913,1467
1148,834,1982
1059,159,1218
328,232,560
559,618,1177
863,679,1542
1046,133,1179
289,178,467
492,628,1120
861,754,1615
1060,155,1215
325,186,511
514,665,1179
911,1218,2129
1069,191,1260
370,217,587
554,1089,1643
1344,1317,2661
1049,158,1207
317,199,516
516,1243,1759
1479,1200,2679
1075,113,1188
298,175,473
518,574,1092
836,715,1551
1075,192,1267
377,177,554
520,567,1087
828,919,1747
1072,183,1255
365,285,650
625,510,1135
768,680,1448
1054,142,1196
306,194,500
516,644,1160
884,769,1653
1034,192,1226
336,204,540
506,719,1225
939,1096,2035
1054,109,1163
273,112,385
434,516,950
757,798,1555
1073,191,1264
374,280,654
621,1348,1969
1608,1393,3001
1054,169,1223
333,196,529
518,661,1179
902,1605,2507
1073,113,1186
296,157,453
498,598,1096
858,1076,1934
1058,174,1232
342,225,567
551,772,1323
1016,1054,2070
1084,158,1242
352,136,488
488,591,1079
862,1025,1887
1084,113,1197
307,161,468
513,611,1124
881,916,1797
1078,109,1187
297,149,446
495,522,1017
786,646,1432
1073,109,1182
292,119,411
460,500,960
760,851,1611
1067,113,1180
290,166,456
501,663,1164
916,846,1762
1072,167,1239
349,145,494
485,731,1216
989,726,1715
1056,109,1165
275,106,381
430,796,1226
1039,760,1799
1072,140,1212
322,164,486
504,678,1182
937,1227,2164
1045,113,1158
268,166,434
479,598,1077
829,834,1663
1065,242,1307
417,253,670
586,803,1389
1054,1148,2202
1060,170,1230
340,200,540
528,625,1153
871,786,1657
1061,149,1210
320,226,546
555,722,1277
969,865,1834
1069,191,1260
370,186,556
523,1695,2218
1951,1650,3601
1097,128,1225
335,185,520
550,690,1240
973,900,1873
1085,215,1300
410,227,637
580,603,1183
874,1140,2014
1067,164,1231
341,176,517
511,582,1093
836,1101,1937
1085,113,1198
308,150,458
503,615,1118
886,837,1723
1040,109,1149
259,105,364
413,602,1015
829,914,1743
1073,162,1235
345,238,583
579,746,1325
1005,727,1732
1042,162,1204
314,202,516
512,689,1201
917,803,1720
1075,105,1180
290,162,452
505,616,1121
877,805,1682
