prompt_tokens,completion_tokens,total_tokens
343,155,498
483,646,1129
848,642,1490
1050,112,1162
273,133,406
457,632,1089
830,606,1436
1030,231,1261
372,236,608
540,780,1320
958,642,1600
1042,112,1154
265,154,419
470,580,1050
770,415,1185
1029,161,1190
301,233,534
536,761,1297
938,648,1586
1021,137,1158
269,166,435
461,641,1102
810,575,1385
1013,183,1196
307,187,494
474,550,1024
711,480,1191
1007,212,1219
330,269,599
550,662,1212
817,581,1398
1032,158,1190
301,207,508
513,1033,1546
1213,700,1913
1018,161,1179
290,213,503
505,818,1323
984,278,1262
1030,231,1261
372,219,591
523,689,1212
867,696,1563
1027,137,1164
275,178,453
479,597,1076
772,471,1243
1020,169,1189
300,193,493
487,831,1318
999,484,1483
1033,112,1145
256,149,405
456,561,1017
742,494,1236
1001,150,1151
262,144,406
419,408,827
557,326,883
1019,172,1191
302,211,513
504,628,1132
795,580,1375
1044,165,1209
320,151,471
469,827,1296
1019,777,1796
1021,141,1162
273,194,467
489,610,1099
779,454,1233
1030,132,1162
273,149,422
453,584,1037
762,538,1300
1011,137,1148
259,165,424
1044,112,1156
267,167,434
485,810,1295
1046,516,1562
1021,141,1162
273,169,442
464,806,1270
975,418,1393
1030,158,1188
299,194,493
498,759,1257
937,622,1559
1011,137,1148
259,161,420
446,619,1065
778,342,1120
1012,112,1124
235,116,351
402,557,959
717,535,1252
1022,108,1130
241,119,360
415,462,877
632,433,1065
1002,137,1139
250,123,373
399,443,842
593,446,1039
1025,112,1137
248,142,390
441,446,887
619,431,1050
1020,166,1186
297,218,515
512,808,1320
976,394,1370
1012,141,1153
264,193,457
479,583,1062
743,444,1187
1007,137,1144
255,166,421
447,851,1298
1006,583,1589
1025,158,1183
294,227,521
526,779,1305
952,456,1408
1002,108,1110
221,161,382
437,557,994
707,425,1132
1020,231,1251
362,214,576
508,810,1318
978,600,1578
1049,103,1152
263,178,441
501,447,948
644,382,1026
1017,108,1125
236,100,336
391,557,948
722,566,1288
1030,201,1231
342,215,557
519,718,1237
896,394,1290
1033,167,1200
311,175,486
482,856,1338
1037,499,1536
1041,112,1153
264,197,461
512,694,1206
883,451,1334
1038,170,1208
319,285,604
597,1314,1911
1500,688,2188
1000,165,1165
276,189,465
463,789,1252
937,426,1363
1012,164,1176
287,209,496
495,696,1191
856,527,1383
1030,183,1213
324,225,549
529,745,1274
923,561,1484
1022,108,1130
241,154,395
450,499,949
669,382,1051
1012,154,1166
277,145,422
431,583,1014
743,547,1290
1033,170,1203
314,251,565
558,699,1257
880,703,1583
1032,170,1202
313,206,519
512,824,1336
1004,757,1761
1036,192,1228
339,218,557
528,617,1145
801,413,1214
1040,137,1177
288,142,430
456,566,1022
754,564,1318
1028,161,1189
344,229,573
531,579,1110
755,533,1288
1011,137,1148
259,150,409
435,468,903
627,433,1060
1025,137,1162
273,171,444
470,966,1436
1139,592,1731
1006,186,1192
303,284,587
564,689,1253
843,307,1150
1041,112,1153
264,155,419
470,564,1034
753,586,1339
1015,166,1181
292,204,496
493,554,1047
717,481,1198
1041,207,1248
359,243,602
558,992,1550
1181,962,2143
1021,165,1186
297,215,512
510,823,1333
992,708,1700
1007,137,1144
255,138,393
419,661,1080
816,354,1170
1020,108,1128
239,164,403
458,801,1259
969,558,1527
1002,190,1192
303,218,521
494,488,982
638,423,1061
1030,183,1213
324,208,532
512,797,1309
975,734,1709
1026,108,1134
245,156,401
456,625,1081
799,394,1193
1033,136,1169
280,193,473
500,985,1485
1166,532,1698
998,141,1139
250,204,454
476,425,901
571,335,906
1024,108,1132
243,146,389
444,644,1088
816,524,1340
1016,170,1186
297,175,472
465,856,1321
1020,404,1424
1041,112,1153
264,151,415
466,680,1146
869,486,1355
1021,187,1208
319,170,489
465,922,1387
1091,716,1807
1019,190,1209
320,278,598
571,1217,1788
1384,848,2232
1008,132,1140
251,115,366
397,423,820
579,331,910
1029,108,1137
248,127,375
430,527,957
704,498,1202
1016,178,1194
305,242,547
532,555,1087
719,475,1194
1033,170,1203
314,208,522
515,728,1243
909,555,1464
1015,159,1174
285,157,442
446,520,966
683,477,1160
1004,112,1116
227,141,368
419,528,947
680,538,1218
1029,108,1137
292,151,443
454,507,961
684,436,1120
1034,112,1146
257,160,417
468,724,1192
906,440,1346
1020,161,1181
292,229,521
523,1223,1746
1391,878,2269
1019,137,1156
267,177,444
470,793,1263
960,496,1456
1018,104,1122
233,104,337
396,519,915
685,538,1223
1026,132,1158
269,157,426
457,681,1138
855,615,1470
1015,154,1169
280,197,477
486,568,1054
731,458,1189
1020,155,1175
286,183,469
477,489,966
657,471,1128
1006,137,1143
254,140,394
464,499,963
653,472,1125
1035,141,1176
287,191,478
500,1123,1623
1306,620,1926
1020,108,1128
239,158,397
452,454,906
622,322,944
1030,127,1157
268,194,462
498,533,1031
711,388,1099
1014,172,1186
297,211,508
499,455,954
617,390,1007
1027,161,1188
299,221,520
522,733,1255
908,368,1276
1012,182,1194
305,230,535
516,1079,1595
1239,516,1755
1011,241,1252
363,272,635
557,545,1102
704,244,948
1015,137,1152
263,129,392
418,527,945
690,498,1188
1027,166,1193
304,226,530
527,734,1261
909,556,1465
1010,169,1179
290,184,474
468,605,1073
763,397,1160
1020,154,1174
285,228,513
522,513,1035
681,431,1112
1005,112,1117
228,117,345
396,604,1000
757,599,1356
1013,128,1141
252,117,369
404,589,993
750,548,1298
1020,108,1128
239,149,388
443,782,1225
950,429,1379
1009,137,1146
257,184,441
467,831,1298
988,406,1394
1030,137,1167
278,174,452
478,543,1021
721,510,1231
1021,203,1224
335,268,603
563,429,992
598,320,918
1056,179,1235
346,223,569
553,677,1230
881,686,1567
1023,141,1164
275,175,450
472,807,1279
978,460,1438
1027,195,1222
333,212,545
513,742,1255
917,577,1494
1002,137,1139
250,162,412
438,984,1422
1178,528,1706
1011,152,1163
274,230,504
515,960,1475
1119,834,1953
1015,159,1174
285,238,523
527,764,1291
927,480,1407
1026,108,1134
245,133,378
433,567,1000
741,516,1257
1021,141,1162
273,200,473
495,648,1143
817,407,1224
1025,141,1166
277,208,485
507,847,1354
1020,418,1438
1021,166,1187
298,180,478
475,704,1179
873,612,1485
1019,132,1151
262,180,442
473,669,1142
836,463,1299
1024,112,1136
247,164,411
462,525,987
697,484,1181
1018,137,1155
266,168,434
460,675,1135
841,547,1388
1013,136,1149
260,179,439
466,810,1276
971,463,1434
1021,108,1129
240,114,354
409,531,940
700,485,1185
1022,136,1158
269,210,479
506,493,999
663,418,1081
1026,166,1192
303,138,441
438,408,846
582,532,1114
1018,172,1190
301,273,574
565,920,1485
1086,464,1550
1035,161,1196
307,195,502
504,358,862
541,396,937
1043,161,1204
315,181,496
498,738,1236
929,346,1275
1033,221,1254
365,264,629
571,666,1237
847,559,1406
1019,172,1191
302,260,562
553,690,1243
857,526,1383
1051,137,1188
255,159,414
440,866,1306
1021,729,1750
1018,161,1179
290,169,459
461,607,1068
773,564,1337
1030,183,1213
324,207,531
511,765,1276
943,661,1604
1041,190,1231
342,287,629
602,1119,1721
1308,548,1856
1030,137,1167
278,146,424
450,602,1052
780,645,1425
1018,172,1190
301,308,609
600,843,1443
1009,807,1816
1033,209,1242
353,218,571
525,950,1475
1131,767,1898
996,112,1108
219,121,340
391,520,911
664,513,1177
1027,159,1186
297,213,510
514,753,1267
928,588,1516
1028,137,1165
276,163,439
465,1064,1529
1240,532,1772
1043,190,1233
344,318,662
635,712,1347
903,742,1645
1016,141,1157
268,182,450
472,657,1129
821,497,1318
1027,159,1186
297,201,498
502,961,1463
1136,517,1653
1003,194,1197
308,253,561
530,670,1200
821,655,1476
1015,163,1178
289,181,470
470,508,978
671,487,1158
1014,137,1151
262,167,429
455,866,1321
1028,476,1504
1014,112,1126
237,118,355
406,567,973
729,537,1266
1047,174,1221
332,191,523
512,1084,1596
1279,645,1924
1016,178,1194
305,225,530
515,785,1300
949,467,1416
998,137,1135
246,166,412
438,725,1163
871,493,1364
1013,183,1196
307,169,476
456,517,973
678,479,1157
1030,201,1231
342,210,552
514,879,1393
1057,447,1504
1015,132,1147
258,153,411
442,606,1048
769,565,1334
1033,221,1254
365,240,605
547,1002,1549
1183,568,1751
1029,108,1137
248,117,365
420,477,897
654,525,1179
1028,173,1201
312,180,492
482,474,956
650,546,1196
1008,137,1145
256,185,441
467,776,1243
932,392,1324
1033,112,1145
256,170,426
477,717,1194
898,577,1475
1033,112,1145
256,165,421
472,755,1227
936,555,1491
1023,187,1210
321,160,481
457,919,1376
1090,730,1820
1023,161,1184
295,177,472
474,533,1007
704,387,1091
1023,165,1188
299,209,508
506,935,1441
1106,632,1738
1018,104,1122
233,146,379
438,658,1096
824,605,1429
996,137,1133
244,184,428
454,631,1085
775,439,1214
1015,108,1123
234,123,357
412,536,948
699,495,1194
1035,163,1198
309,246,555
555,684,1239
867,156,1023
1015,112,1127
238,193,431
482,731,1213
894,618,1512
1024,141,1165
276,189,465
487,971,1458
1143,472,1615
1003,137,1140
251,209,460
486,418,904
569,296,865
1032,108,1140
251,151,402
457,688,1145
868,400,1268
1012,112,1124
235,132,367
418,497,915
657,449,1106
1018,104,1122
233,151,384
443,513,956
723,360,1083
1026,112,1138
249,153,402
453,571,1024
745,453,1198
1019,112,1131
242,166,408
459,594,1053
761,487,1248
1002,137,1139
250,118,368
394,555,949
705,195,900
1017,169,1186
297,146,443
437,697,1134
862,946,1808
1033,112,1145
256,125,381
432,660,1092
841,623,1464
1013,141,1154
265,191,456
478,906,1384
1067,533,1600
1006,137,1143
254,181,435
461,534,995
688,374,1062
1011,166,1177
288,179,467
464,595,1059
754,607,1361
1010,163,1173
284,328,612
612,925,1537
1083,464,1547
1001,112,1113
224,176,400
451,457,908
606,301,907
1010,136,1146
257,212,469
496,628,1124
786,502,1288
1007,169,1176
287,201,488
482,430,912
585,308,893
1008,132,1140
251,177,428
459,844,1303
1000,237,1237
1022,169,1191
302,185,487
481,810,1291
980,421,1401
1016,139,1155
266,198,464
488,761,1249
925,513,1438
1028,172,1200
311,244,555
546,461,1007
637,366,1003
1019,112,1131
242,136,378
429,656,1085
823,603,1426
1028,231,1259
370,253,623
555,841,1396
1017,643,1660
1014,140,1154
265,190,455
478,500,978
662,446,1108
1033,112,1145
256,168,424
475,723,1198
904,470,1374
1016,143,1159
270,179,449
469,785,1254
949,765,1714
1019,112,1131
242,116,358
409,624,1033
791,611,1402
1019,168,1187
298,197,495
490,905,1395
1072,902,1974
1001,169,1170
281,195,476
470,875,1345
1024,533,1557
1017,108,1125
236,103,339
394,566,960
731,497,1228
1011,177,1188
299,250,549
535,505,1040
664,357,1021
1019,108,1127
238,151,389
444,934,1378
1101,396,1497
1026,112,1138
249,166,415
466,838,1304
1012,455,1467
1023,112,1135
246,175,421
472,866,1338
1037,481,1518
1041,112,1153
264,174,438
489,889,1378
1078,525,1603
1014,155,1169
280,192,472
