prompt_tokens,completion_tokens,total_tokens
958,159,1117
950,143,1093
955,188,1143
303,234,537
307,182,489
334,240,574
310,187,497
360,288,648
525,383,908
553,398,951
492,352,844
484,451,935
598,403,1001
581,388,969
618,541,1159
564,519,1083
660,740,1400
620,554,1174
928,112,1040
945,151,1096
934,143,1077
948,202,1150
941,154,1095
257,178,435
294,171,465
313,241,554
367,305,672
312,244,556
461,363,824
460,348,808
540,475,1015
608,458,1066
541,742,1283
553,363,916
544,388,932
678,448,1126
949,621,1570
668,767,1435
938,143,1081
943,143,1086
934,112,1046
947,182,1129
968,173,1141
263,153,416
298,178,476
358,237,595
303,226,529
346,234,580
442,549,991
471,640,1111
524,660,1184
560,761,1321
536,588,1124
745,564,1309
865,775,1640
840,730,1570
797,724,1521
991,1218,2209
944,120,1064
919,124,1043
947,143,1090
953,173,1126
260,159,419
281,157,438
307,181,488
954,143,1097
343,227,570
314,178,492
433,443,876
535,442,977
456,469,925
487,359,846
483,414,897
624,353,977
675,400,1075
657,426,1083
575,586,1161
623,439,1062
931,112,1043
942,163,1105
927,112,1039
937,143,1080
929,143,1072
260,152,412
256,161,417
322,229,551
297,190,487
289,226,515
438,548,986
443,524,967
526,420,946
482,491,973
510,491,1001
713,524,1237
624,416,1040
741,553,1294
682,462,1144
690,635,1325
947,118,1065
926,112,1038
938,157,1095
945,173,1118
935,198,1133
255,137,392
282,198,480
335,196,531
312,187,499
418,348,766
350,243,593
480,487,967
536,396,932
533,614,1147
496,496,992
500,698,1198
703,504,1207
687,761,1448
811,812,1623
907,699,1606
926,112,1038
941,154,1095
957,157,1114
941,184,1125
929,173,1102
255,161,416
331,202,533
342,270,612
442,317,759
319,219,538
312,229,541
505,420,925
566,368,934
514,397,911
503,515,1018
616,435,1051
571,663,1234
525,974,1499
706,517,1223
1177,1319,2496
960,143,1103
944,120,1064
947,143,1090
926,112,1038
945,143,1088
305,192,497
320,239,559
281,179,460
307,175,482
492,383,875
255,166,421
478,260,738
554,718,1272
477,651,1128
466,247,713
590,623,1213
860,740,1600
940,1028,1968
447,306,753
494,375,869
938,110,1048
948,150,1098
954,173,1127
951,174,1125
918,129,1047
265,156,421
344,226,570
342,241,583
315,223,538
264,184,448
457,366,823
535,459,994
449,596,1045
675,491,1166
796,542,1338
526,502,1028
712,655,1367
547,482,1029
546,506,1052
695,782,1477
947,202,1149
947,143,1090
935,187,1122
366,250,616
929,123,1052
339,252,591
307,215,522
552,490,1042
943,163,1106
542,458,1000
517,277,794
323,228,551
486,303,789
655,667,1322
699,591,1290
269,168,437
526,376,902
452,536,988
581,481,1062
727,715,1442
930,112,1042
945,157,1102
933,143,1076
934,157,1091
259,166,425
293,211,504
451,316,767
499,386,885
308,216,524
505,398,903
508,533,1041
594,389,983
948,187,1135
581,387,968
352,271,623
319,207,526
507,667,1174
874,667,1541
574,354,928
564,505,1069
921,134,1055
922,112,1034
950,143,1093
947,165,1112
944,173,1117
272,198,470
251,141,392
310,205,515
334,193,527
474,376,850
418,596,1014
510,520,1030
492,556,1048
559,458,1017
780,341,1121
762,450,1212
732,626,1358
329,205,534
507,527,1034
736,649,1385
918,129,1047
929,112,1041
959,173,1132
956,143,1099
944,177,1121
264,160,424
258,154,412
349,212,561
316,214,530
338,272,610
433,639,1072
438,605,1043
571,553,1124
525,439,964
796,358,1154
526,679,1205
819,428,1247
657,527,1184
900,876,1776
759,562,1321
938,127,1065
948,143,1091
967,143,1110
934,173,1107
943,173,1116
282,161,443
308,189,497
327,204,531
324,235,559
333,233,566
526,359,885
454,501,955
531,356,887
524,577,1101
492,599,1091
561,384,945
588,399,987
701,486,1187
773,617,1390
809,741,1550
941,151,1092
953,157,1110
952,143,1095
947,154,1101
945,183,1128
327,197,524
309,215,524
312,220,532
318,199,517
345,233,578
527,410,937
501,437,938
505,447,952
511,488,999
533,478,1011
646,499,1145
662,699,1361
685,471,1156
624,534,1158
691,898,1589
929,79,1008
947,143,1090
939,173,1112
941,143,1084
225,140,365
307,197,504
301,208,509
957,154,1111
504,359,863
328,280,608
424,421,845
329,246,575
499,432,931
592,413,1005
562,446,1008
540,483,1023
641,537,1178
612,622,1234
632,438,1070
684,676,1360
941,143,1084
940,163,1103
957,173,1130
949,157,1106
924,173,1097
301,202,503
320,245,565
323,190,513
347,218,565
314,221,535
498,683,1181
530,553,1083
500,654,1154
540,341,881
772,683,1455
494,608,1102
886,933,1819
840,824,1664
543,569,1112
819,529,1348
931,129,1060
954,143,1097
932,126,1058
956,173,1129
932,124,1056
277,183,460
275,155,430
346,232,578
273,200,473
314,209,523
469,440,909
442,396,838
487,466,953
543,541,1084
518,443,961
633,401,1034
590,366,956
660,477,1137
759,540,1299
659,654,1313
931,109,1040
925,112,1037
937,112,1049
943,173,1116
254,154,408
257,151,408
946,187,1133
333,193,526
266,146,412
434,394,828
350,241,591
437,344,781
581,380,961
491,545,1036
438,420,858
537,421,958
542,747,1289
750,567,1317
955,554,1509
619,648,1267
943,139,1082
968,157,1125
935,110,1045
944,143,1087
927,187,1114
342,195,537
262,138,400
299,170,469
304,187,491
331,248,579
518,341,859
468,398,866
486,476,962
530,566,1096
571,489,1060
682,410,1092
603,739,1342
428,437,865
634,605,1239
755,533,1288
953,120,1073
938,188,1126
948,173,1121
944,150,1094
954,171,1125
338,221,559
343,259,602
290,209,499
311,236,547
342,276,618
517,317,834
552,446,998
524,426,950
585,495,1080
532,508,1040
646,501,1147
636,379,1015
711,640,1351
535,556,1091
762,650,1412
923,141,1064
950,143,1093
947,173,1120
933,157,1090
933,157,1090
281,205,486
310,191,501
307,189,496
